Campus Name,latitude,longitude,UTM_Easting,UTM_Northing
"Drew, Dr. Charles R. Drew Elementary / Early Education",37.731796,-122.39389,553408.3133335484,4176230.7883656546
San Francisco International High School,37.75523,-122.408859,552072.8640754618,4178822.3269119635
Jefferson Out Of School (OST) Program,37.763062,-122.476318,546125.577957143,4179655.878402115
Saint James Preschool (Episcopal Church),37.784939,-122.467201,546914.777052016,4182087.644079602
Maria Montessori School Of The Golden Gate,37.7426,-122.46521,547116.9447264399,4177391.182125927
Ucsf - Marilyn Reed Lucia Child Care Study Center,37.7631,-122.460121,547552.1856040861,4179668.203466202
"King, Thomas Starr King Elementary / Preschool",37.753288,-122.399193,552925.7210349904,4178612.2871082434
Jewish Community Center San Francisco - Brotherhood Way Preschool,37.713123,-122.475296,546246.6522726038,4174115.7351750215
Kids Kollege Preschool,37.756462,-122.505241,543581.9141476105,4178909.7518336168
"Lick, James Lick Middle School",37.749363,-122.432785,549969.180716375,4178158.3451255704
Mission Neighborhood Centers - Bernal Dwellings Child Development,37.748848,-122.41262,551746.003832283,4178112.1649019565
El Dorado Elementary School,37.718658,-122.407852,552187.2370197513,4174765.275227418
Alt School - Yerba Buena,37.781742,-122.401199,552728.8008917307,4181768.1033748114
True Sunshine Preschool Center,37.792976,-122.407844,552135.7615103574,4183010.784661179
Pomeroy Recreation And Rehabilitation Center,37.729641,-122.501846,543896.8093922873,4175935.5945687355
Brightworks,37.762238,-122.410377,551934.2444065139,4179599.0138492
Proof School,37.787655,-122.410942,551866.7182598532,4182418.698820377
Stuart Hall High School,37.788628,-122.427238,550431.177517583,4182517.7382855844
Edison Charter K-8,37.754467,-122.426041,550559.8296516048,4178728.250130422
Mother Goose School,37.783024,-122.487839,545098.681683237,4181865.0228509195
Saint Vincent De Paul School,37.796112,-122.437851,549491.7122763839,4183342.4131439077
Our Lady Of The Visitacion School,37.709122,-122.409546,552044.6097925765,4173706.330818341
Gateway Middle School,37.779419,-122.435921,549672.8041467698,4181491.357959197
Cleveland Elementary School,37.720341,-122.429192,550305.3441202273,4174940.3233336005
Holy Name Elementary School,37.75761,-122.498878,544141.7341885149,4179040.103496891
Drew School,37.787643,-122.442322,549103.6860237496,4182400.424572377
"Asawa, Ruth Asawa San Francisco School Of The Arts

 / Academy Of Arts And Sciences",37.745316,-122.44883,548558.3189348916,4177700.8901551515
Kai Ming Head Start - Saint Luke Center,37.792061,-122.42215,550876.8211324093,4182901.384492414
Peekadoodle Of San Francisco,37.805534,-122.423187,550776.2940586567,4184395.645853215
Glen Park Montessori Preschool,37.734295,-122.432915,549967.8566301314,4176486.502567722
Stratford School - San Francisco,37.723126,-122.461632,547444.6065017089,4175232.382606536
Wu Yee Child Development Center - Bayview,37.731804,-122.38958,553788.0934456541,4176234.1434297017
Wu Yee Child Development Center - South East,37.737419,-122.393837,553408.9440501545,4176854.682794012
Economic Opportunity Council Sf - Chinatown Childcare,37.803215,-122.41523,551478.3568779628,4184142.705708402
Lone Mountain Childrens Center,37.788681,-122.473633,546346.0763105287,4182499.608590725
My City School,37.764423,-122.438148,549486.6867572851,4179826.3845390566
Sunnyside Elementary School,37.730293,-122.448257,548618.62495734,4176034.4093611944
Economic Opportunity Council Sf - Cleo Wallace Childcare,37.755669,-122.394699,553319.8971121226,4178879.007957967
Little People Preschool,37.741543,-122.504295,543674.0124693039,4177254.953891874
Mercy High School,37.7295,-122.473587,546387.0681653727,4175933.575823555
Saint Anne Elementary School,37.763023,-122.471283,546569.0851763341,4179654.0457083
Zion Lutheran School,37.77924,-122.467636,546880.0730235659,4181455.1266254657
Our Victorian Schoolhouse,37.777241,-122.438637,549435.0816590891,4181248.271436487
Nihonmachi Little Friends - Bush St,37.78709,-122.430588,550137.2497320084,4182345.2964650523
"Revere, Paul Revere School / Preschool",37.737614,-122.413116,551710.1228957558,4176865.4930634694
Meadows-Livingstone School,37.749626,-122.404839,552430.9383846015,4178202.8139337627
City College of San Francisco Chinatown North Beach Center,37.795555,-122.404701,552410.664204064,4183298.6812604684
Aptos Middle School,37.729672,-122.465782,547074.7342970927,4175956.5545221358
Good Samaritan Child Development Center,37.751873,-122.40657,552276.862999682,4178451.1476608124
"Lilienthal, Claire Lilienthal (K-2 Madison Campus)",37.787201,-122.458015,547722.1872098054,4182343.2597758477
Archbishop Riordan High School,37.727902,-122.453056,548197.2918788807,4175766.650881568
Martha Hills Learning Center,37.719162,-122.394241,553386.4523385831,4174828.865272757
Sunset Elementary School,37.750523,-122.499153,544121.718893183,4178253.681757105
Wu Yee Child Development Center - New Generation,37.710182,-122.418098,551290.0703899532,4173819.218504426
Presidio Middle School,37.780865,-122.489624,544942.8085525082,4181624.624476449
Bright Horizons - 2Nd St,37.785294,-122.395569,553222.0208626224,4182165.385531931
Buena Vista Child Care,37.753567,-122.42028,551067.9369193419,4178631.5245544626
Wu Yee Child Development Center - Generations,37.798492,-122.403709,552495.9230898378,4183625.097281578
Mission Neighborhood Centers - Southeast Families United Childcare,37.739754,-122.383591,554310.0205963241,4177119.643435977
Wu Yee Child Development Center - Hunters Point/Kirkwood,37.72887,-122.374405,555127.4502510241,4175917.446911577
Mission Neighborhood Centers - Mission Bay,37.776493,-122.39299,553455.4499698118,4181190.3899409873
Tenderloin Elementary / Early Education,37.781796,-122.419777,551092.820837151,4181763.7820042577
Bay School Of San Francisco,37.800579,-122.455818,547906.9967283211,4183828.664956813
Lakeside Presbyterian Center For Children,37.730774,-122.475197,546244.4030252361,4176074.1273348858
Chinese Education Center Elementary School,37.794769,-122.40406,552467.6548309381,4183211.8343339427
"Mahler, Theresa S. Mahler Early Education School",37.755276,-122.428093,550378.5196503366,4178816.900991739
Saint Philip School,37.751759,-122.435539,549724.9598593997,4178422.711360348
San Francisco Day School,37.778042,-122.446281,548761.3997213359,4181333.128855727
"Denman, James Denman Middle School / Leadership Charter High",37.72131,-122.443184,549071.5790723682,4175040.407899708
Saint Brigid School,37.795147,-122.424759,550645.0030349918,4183242.3583799275
"Harte, Bret Harte Elementary / Early Education",37.717899,-122.389221,553829.790635462,4174691.6111294376
Rise Institute,37.750324,-122.394058,553380.2021982555,4178286.3511160803
Learning Bridge Preschool,37.760243,-122.472206,546489.5272596347,4179345.149111487
Larkin Street Youth Services Academy,37.782265,-122.412987,551690.4079283546,4181819.5487242998
Alt School - Dogpatch 2,37.760662,-122.387962,553909.7296049035,4179436.8371912427
Immaculate Conception Academy,37.751667,-122.423416,550792.980999253,4178419.014980019
C5 Childrens School - State Building Center,37.78104,-122.417915,551257.3068699976,4181680.9232055666
Lowell High School,37.729435,-122.483055,545552.7900376259,4175921.715520759
Alt School - North Beach,37.795811,-122.404892,552393.6674348738,4183326.9773281356
Wu Yee Child Development Center - Cadillac,37.784054,-122.41394,551605.2452452874,4182017.510934616
"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)",37.80336,-122.443237,549012.734389422,4184143.738227329
Lafayette Elementary School,37.777069,-122.496887,544305.5030865221,4181199.996584841
Woodside International School,37.763432,-122.474747,546263.7211451409,4179697.705153633
Faces Sf Child Development Program - Haight Ashbury/Masonic,37.770889,-122.445869,548802.3831604286,4180539.7246531555
Mission Neighborhood Centers - Capp Head Start,37.760986,-122.418495,551220.0646343235,4179455.6303548403
Mission Neighborhood Centers - Jean Jacobs,37.720951,-122.429695,550260.6021660506,4175007.7316479953
"Jordan, June Jordan High School",37.719536,-122.425148,550662.2933614528,4174853.1901043314
City College of San Francisco Gough Street Location,37.771988,-122.421211,550973.2799123081,4180674.8088761442
"Muir, John Muir Elementary / Early Education",37.773758,-122.42868,550314.2886646233,4180867.14492849
"O'Connell, John O'Connell High School",37.759514,-122.413559,551655.864362925,4179295.027116737
Saint Charles School,37.762322,-122.416443,551399.885727609,4179604.983618742
Friends Of Potrero Hill Preschool,37.75856,-122.389587,553768.1159650416,4179202.687040518
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",37.783009,-122.429504,550235.4601079205,4181893.093750462
Angelinas Preschool,37.753666,-122.483765,545475.3980180951,4178609.759442251
Wu Yee Child Development Center - Golden Gate,37.78167,-122.413559,551640.4530499567,4181753.2178000784
"Brown, Willie Brown Jr Middle School",37.736477,-122.399574,552904.1233587299,4176746.9114060695
"Chavez, Cesar Chavez Elementary School / Preschool",37.754921,-122.414879,551542.7795696523,4178784.710628866
"Feinstein, Dianne Feinstein Elementary School",37.739685,-122.481369,545695.0599853345,4177059.7563599115
Monroe Elementary / Excelsior Monroe Early Education,37.725399,-122.430489,550187.6254992317,4175500.8035636595
Alt School - Soma,37.774181,-122.410484,551916.4692699485,4180924.020518697
Chinese Immersion School At Deavila,37.769829,-122.444275,548943.4667305412,4180422.951487547
Living Hope Christian School,37.714336,-122.435829,549724.4335499952,4174270.535389533
Happy Times Nursery School,37.748856,-122.476791,546092.7290978145,4178079.508978953
Voice Of Pentecost Academy,37.726364,-122.463974,547236.155678281,4175590.4485550383
San Miguel Early Education School,37.721645,-122.44471,548936.8729119009,4175076.776965282
Ucsf - University Child Care Center - Mission Bay,37.768677,-122.393967,553375.0296515748,4180322.651895716
Longfellow Elementary School,37.710423,-122.446739,548765.4137963753,4173830.659801539
"Webster, Daniel Webster Out-Of-School (OST) Program",37.760521,-122.395843,553215.6472823623,4179416.6815527636
Mission High School,37.76202,-122.427307,550443.1781366796,4179565.56396299
Miraloma Elementary School,37.738636,-122.450188,548443.0310215433,4176959.0505053056
Golden Gate Guppies Preschool,37.789124,-122.434509,549790.6344394924,4182568.8724249126
Lands End School,37.782593,-122.504578,543624.9616918975,4181809.263142158
San Francisco Pacific Academy,37.775639,-122.494286,544535.4135965066,4181042.574923331
"Wells, Ida B. Wells High School",37.775013,-122.433899,549853.821823037,4181003.5915229097
Munchkinland Preschool And Family Daycare,37.773445,-122.509254,543218.5341771275,4180792.1314681727
